Player Name,Position,Team,Bye Week,berry,yahoo,fabiano,fp
Roy Helu,RB,OAK,6,127,137,120,124
Larry Donnell,TE,NYG,11,97,108,157,122
Zach Ertz,TE,PHI,8,129,143,106,103
Dwayne Allen,TE,IND,10,130,109,175,126
Carson Palmer,QB,ARI,9,131,300,114,300
Fred Jackson,RB,BUF,8,132,77,136,300
James White,RB,NE,4,133,300,161,300
Anquan Boldin,WR,SF,10,135,82,105,70
Cecil Shorts,WR,HOU,9,136,123,300,300
Brandon LaFell,WR,NE,4,139,110,78,136
Khiry Robinson,RB,NO,11,125,149,186,300
Cameron Artis-Payne,RB,CAR,5,120,300,300,300
Jeff Janis,WR,GB,7,142,103,300,300
Kyle Rudolph,TE,MIN,5,140,150,141,108
Heath Miller,TE,PIT,11,141,300,139,116
Dwayne Bowe,WR,CLE,11,143,300,179,300
Malcom Floyd,WR,SD,10,144,131,127,300
Dorial Green-Beckham,WR,TEN,4,146,300,177,300
Jerick McKinnon,RB,MIN,5,145,102,182,300
Doug Baldwin,WR,SEA,9,148,112,145,300
David Johnson,WR,ARI,9,147,300,138,128
Kendall Wright,WR,TEN,4,153,127,125,84
Javorius Allen,RB,BAL,9,149,300,300,300
Branden Oliver,RB,SD,10,150,300,300,300
Austin Seferian-Jenkins,TE,TB,6,151,300,147,118
Tyler Eifert,TE,CIN,7,152,142,154,101
Pierre Garcon,WR,WAS,8,156,141,130,89
Daniel Herron,RB,IND,10,154,122,159,300
Bishop Sankey,RB,TEN,4,106,300,82,104
Nick Toon,WR,NO,11,165,300,300,300
Damien Williams,RB,MIA,5,157,300,174,300
Montee Ball,RB,DEN,7,158,300,172,300
Denard Robinson,RB,JAC,8,159,125,173,300
DeAngelo Williams,RB,PIT,11,160,144,148,300
Dion Lewis,RB,NE,4,111,300,300,300
Lorenzo Taliaferro,RB,BAL,9,162,124,150,300
Jeremy Langford,RB,CHI,7,163,300,300,300
Jonas Gray,RB,NE,4,164,300,119,300
Cole Beasley,WR,DAL,6,166,300,188,300
Rueben Randle,WR,NYG,11,170,300,180,131
Stevan Ridley,RB,NYJ,5,167,300,300,300
Lance Dunbar,RB,DAL,6,168,146,300,300
Robert Turbin,RB,SEA,9,169,300,300,300
Nate Washington,WR,HOU,9,175,300,300,300
Reggie Bush,RB,SF,10,171,133,137,110
Antonio Gates,TE,SD,10,172,117,144,125
James Starks,RB,GB,7,173,300,171,300
Terrance West,RB,CLE,11,174,138,140,300
Cordarrelle Patterson,WR,MIN,5,177,300,189,300
Jay Ajayi,RB,MIA,5,176,300,300,300
Marlon Brown,WR,BAL,9,180,300,300,300
Darren Sproles,RB,PHI,8,178,147,146,127
Travaris Cadet,RB,NE,4,179,300,300,300
Seattle Seahawks,DST,SEA,9,181,300,165,129
Houston Texans,DST,HOU,9,182,300,183,143
St. Louis Rams,DST,STL,6,183,300,300,142
Buffalo Bills,DST,BUF,8,184,300,169,139
Denver Broncos,DST,DEN,7,185,300,300,300
Miami Dolphins,DST,MIA,5,186,300,300,300
Detroit Lions,DST,DET,9,187,300,300,300
Arizona Cardinals,DST,ARI,9,188,300,300,300
New York Jets,DST,NYJ,5,189,300,300,300
New England Patriots,DST,NE,4,190,300,300,300
Stephen Gostowski,K,NE,4,191,300,170,300
Justin Tucker,K,BAL,9,192,300,300,300
Adam Vinatieri,K,IND,10,193,300,300,300
Steven Haushka,K,SEA,9,194,300,300,300
Mason Crosby,K,GB,7,195,300,300,300
Matt Bryant,K,ATL,10,196,300,300,300
Brandon McManus,K,DEN,7,197,300,300,300
Dan Bailey,K,DAL,6,198,300,300,300
Cody Parkey,K,PHI,8,199,300,194,300
Nick Novak,K,SD,10,200,300,300,300
Kenny Stills,WR,MIA,5,300,62,126,150
Colby Fleener,TE,IND,10,300,107,195,300
Matthew Stafford,QB,DET,9,300,116,102,99
Josh Hill,TE,NO,11,300,119,192,148
Andre Hawkins,WR,CLE,11,300,130,300,300
Colin Kaepernick,QB,SF,10,300,135,97,140
Charles Clay,TE,BUF,8,300,145,196,135
Markus Wheaton,WR,PIT,11,100,300,108,115
Vernon Davis,TE,SF,10,300,300,129,144
Marcus Mariota,QB,TEN,4,300,300,132,300
Joe Flacco,QB,BAL,9,300,300,135,149
Jay Cutler,QB,CHI,7,300,300,142,300
Kenny Britt,WR,STL,6,300,300,152,300
Robert Griffin III,QB,WAS,8,300,300,155,300
Jameis Winston,QB,TB,6,300,300,156,300
Derek Carr,QB,OAK,6,300,300,158,300
Ladarius Green,TE,SD,10,300,300,160,300
Alex Smith,QB,KC,9,300,300,163,300
Blake Bortles,QB,JAC,8,300,300,164,300
Nick Foles,QB,STL,6,300,300,166,300
Andy Dalton,QB,CIN,7,300,300,168,300
Brandon Coleman,WR,NO,11,300,300,176,93
Allen Hurns,WR,JAC,8,300,300,178,300
Phillip Dorsett,WR,IND,10,300,300,181,300
Corey Brown,WR,CAR,5,300,300,184,300
Jordan Reed,TE,WAS,8,300,300,185,130
Ty Montgomery,WR,GB,7,300,300,187,300
Eric Ebron,TE,DET,9,300,300,190,300
Danny Amendola,WR,NE,4,300,300,191,300
Tyler Lockett,WR,SEA,9,300,300,193,300
Ryan Fitzpatrick,QB,NYJ,5,300,300,197,300
Chris Conley,WR,KC,9,300,300,199,300
Christine Michael,RB,SEA,9,127,300,200,300
Karlos Williams,RB,BUF,8,122,300,300,300
